Month,CPIH,AWE,Productivity
2000-01-01,72.6,304.7229252,82.5
2000-02-01,72.8,299.8185767,82.5
2000-03-01,73.0,311.418715,82.5
2000-04-01,73.3,308.748756,82.2
2000-05-01,73.5,311.1787736,82.2
2000-06-01,73.6,310.5001441,82.2
2000-07-01,73.3,313.0500304,82.7
2000-08-01,73.3,314.6547888,82.7
2000-09-01,73.8,316.8059073,82.7
2000-10-01,73.8,317.6009559,82.6
2000-11-01,74.0,319.5314127,82.6
2000-12-01,74.0,323.3349055,82.6
2001-01-01,73.5,321.2976662,83.6
2001-02-01,73.7,324.8195859,83.6
2001-03-01,73.9,326.1102546,83.6
2001-04-01,74.4,326.4848868,83.4
2001-05-01,74.9,326.6220396,83.4
2001-06-01,75.0,328.4330348,83.4
2001-07-01,74.5,328.3840948,83.9
2001-08-01,74.8,330.7166288,83.9
2001-09-01,75.0,331.0942636,83.9
2001-10-01,74.9,332.6849401,84.2
2001-11-01,74.9,333.7230478,84.2
2001-12-01,75.0,334.13697,84.2
2002-01-01,74.8,332.5465834,84.5
2002-02-01,75.0,334.0736081,84.5
2002-03-01,75.2,334.3904409,84.5
2002-04-01,75.6,338.3295037,85.3
2002-05-01,75.8,338.7681158,85.3
2002-06-01,75.8,340.4534854,85.3
2002-07-01,75.6,341.4062369,85.3
2002-08-01,75.8,340.949669,85.3
2002-09-01,76.0,341.9802662,85.3
2002-10-01,76.1,342.3569884,85.9
2002-11-01,76.1,343.4103968,85.9
2002-12-01,76.3,342.8913049,85.9
2003-01-01,75.9,339.2326631,86.5
2003-02-01,76.1,340.8783746,86.5
2003-03-01,76.4,348.8777565,86.5
2003-04-01,76.8,347.313682,87
2003-05-01,76.8,348.2185391,87
2003-06-01,76.7,349.2160588,87
2003-07-01,76.6,351.206865,87.7
2003-08-01,76.8,352.172822,87.7
2003-09-01,77.0,354.5247826,87.7
2003-10-01,77.1,356.4883137,88.9
2003-11-01,77.1,356.7401022,88.9
2003-12-01,77.3,357.3116893,88.9
2004-01-01,77.0,364.297011,88.2
2004-02-01,77.2,351.9440757,88.2
2004-03-01,77.3,361.469151,88.2
2004-04-01,77.6,362.0237767,89
2004-05-01,77.9,363.3003903,89
2004-06-01,77.9,363.7681543,89
2004-07-01,77.7,364.7072539,89
2004-08-01,77.9,367.2651754,89
2004-09-01,77.9,369.276856,89
2004-10-01,78.1,371.6193082,88.5
2004-11-01,78.3,371.9899336,88.5
2004-12-01,78.6,372.9777502,88.5
2005-01-01,78.3,379.0713392,89.2
2005-02-01,78.5,370.9508991,89.2
2005-03-01,78.8,375.8859793,89.2
2005-04-01,79.1,378.563489,90.1
2005-05-01,79.4,379.5164592,90.1
